,Country,Item,Year,Value
0,Algeria,Wheat and products,2004,2731
1,Algeria,Wheat and products,2005,2415
2,Algeria,Wheat and products,2006,2688
3,Algeria,Wheat and products,2007,2319
4,Algeria,Wheat and products,2008,1111
5,Algeria,Wheat and products,2009,2953
6,Algeria,Wheat and products,2010,2605
7,Algeria,Wheat and products,2011,2555
8,Algeria,Wheat and products,2012,3432
9,Algeria,Wheat and products,2013,3299
10,Algeria,Rice (Milled Equivalent),2004,0
11,Algeria,Rice (Milled Equivalent),2005,0
12,Algeria,Rice (Milled Equivalent),2006,0
13,Algeria,Rice (Milled Equivalent),2007,0
14,Algeria,Rice (Milled Equivalent),2008,0
15,Algeria,Rice (Milled Equivalent),2009,0
16,Algeria,Rice (Milled Equivalent),2010,0
17,Algeria,Rice (Milled Equivalent),2011,0
18,Algeria,Rice (Milled Equivalent),2012,0
19,Algeria,Rice (Milled Equivalent),2013,0
20,Algeria,Barley and products,2004,1212
21,Algeria,Barley and products,2005,1033
22,Algeria,Barley and products,2006,1236
23,Algeria,Barley and products,2007,1187
24,Algeria,Barley and products,2008,396
25,Algeria,Barley and products,2009,2203
26,Algeria,Barley and products,2010,1308
27,Algeria,Barley and products,2011,1104
28,Algeria,Barley and products,2012,1592
29,Algeria,Barley and products,2013,1499
30,Algeria,Maize and products,2004,1
31,Algeria,Maize and products,2005,1
32,Algeria,Maize and products,2006,2
33,Algeria,Maize and products,2007,2
34,Algeria,Maize and products,2008,1
35,Algeria,Maize and products,2009,1
36,Algeria,Maize and products,2010,0
37,Algeria,Maize and products,2011,1
38,Algeria,Maize and products,2012,2
39,Algeria,Maize and products,2013,1
40,Algeria,Oats,2004,89
41,Algeria,Oats,2005,78
42,Algeria,Oats,2006,89
43,Algeria,Oats,2007,92
44,Algeria,Oats,2008,27
45,Algeria,Oats,2009,96
46,Algeria,Oats,2010,88
47,Algeria,Oats,2011,67
48,Algeria,Oats,2012,110
49,Algeria,Oats,2013,113
50,Algeria,Sorghum and products,2004,1
51,Algeria,Sorghum and products,2005,1
52,Algeria,Sorghum and products,2006,2
53,Algeria,Sorghum and products,2007,2
54,Algeria,Sorghum and products,2008,1
55,Algeria,Sorghum and products,2009,0
56,Algeria,Sorghum and products,2010,0
57,Algeria,Sorghum and products,2011,1
58,Algeria,Sorghum and products,2012,2
59,Algeria,Sorghum and products,2013,2
60,Algeria,"Cereals, Other",2004,0
61,Algeria,"Cereals, Other",2005,0
62,Algeria,"Cereals, Other",2006,0
63,Algeria,"Cereals, Other",2007,0
64,Algeria,"Cereals, Other",2008,0
65,Algeria,"Cereals, Other",2009,0
66,Algeria,"Cereals, Other",2010,0
67,Algeria,"Cereals, Other",2011,0
68,Algeria,"Cereals, Other",2012,0
69,Algeria,"Cereals, Other",2013,0
70,Algeria,Potatoes and products,2004,1896
71,Algeria,Potatoes and products,2005,2157
72,Algeria,Potatoes and products,2006,2181
73,Algeria,Potatoes and products,2007,1507
74,Algeria,Potatoes and products,2008,2171
75,Algeria,Potatoes and products,2009,2636
76,Algeria,Potatoes and products,2010,3300
77,Algeria,Potatoes and products,2011,3862
78,Algeria,Potatoes and products,2012,4219
79,Algeria,Potatoes and products,2013,4928
80,Algeria,Sugar beet,2004,0
81,Algeria,Sugar beet,2005,0
82,Algeria,Sugar beet,2006,0
83,Algeria,Sugar beet,2007,0
84,Algeria,Sugar beet,2008,0
85,Algeria,Sugar beet,2009,0
86,Algeria,Sugar beet,2010,0
87,Algeria,Sugar beet,2011,0
88,Algeria,Sugar beet,2012,0
89,Algeria,Sugar beet,2013,0
90,Algeria,Sugar (Raw Equivalent),2004,0
91,Algeria,Sugar (Raw Equivalent),2005,0
92,Algeria,Sugar (Raw Equivalent),2006,0
93,Algeria,Sugar (Raw Equivalent),2007,0
94,Algeria,Sugar (Raw Equivalent),2008,0
95,Algeria,Sugar (Raw Equivalent),2009,0
96,Algeria,Sugar (Raw Equivalent),2010,0
97,Algeria,Sugar (Raw Equivalent),2011,0
98,Algeria,Sugar (Raw Equivalent),2012,0
99,Algeria,Sugar (Raw Equivalent),2013,0
100,Algeria,Honey,2004,3
101,Algeria,Honey,2005,3
102,Algeria,Honey,2006,3
103,Algeria,Honey,2007,3
104,Algeria,Honey,2008,3
105,Algeria,Honey,2009,3
106,Algeria,Honey,2010,5
107,Algeria,Honey,2011,5
108,Algeria,Honey,2012,5
109,Algeria,Honey,2013,6
110,Algeria,Beans,2004,2
111,Algeria,Beans,2005,1
112,Algeria,Beans,2006,1
113,Algeria,Beans,2007,1
114,Algeria,Beans,2008,1
115,Algeria,Beans,2009,1
116,Algeria,Beans,2010,1
117,Algeria,Beans,2011,1
118,Algeria,Beans,2012,1
119,Algeria,Beans,2013,1
120,Algeria,Peas,2004,7
121,Algeria,Peas,2005,5
122,Algeria,Peas,2006,5
123,Algeria,Peas,2007,6
124,Algeria,Peas,2008,4
125,Algeria,Peas,2009,6
126,Algeria,Peas,2010,7
127,Algeria,Peas,2011,7
128,Algeria,Peas,2012,9
129,Algeria,Peas,2013,11
130,Algeria,"Pulses, Other and products",2004,49
131,Algeria,"Pulses, Other and products",2005,41
132,Algeria,"Pulses, Other and products",2006,38
133,Algeria,"Pulses, Other and products",2007,43
134,Algeria,"Pulses, Other and products",2008,36
135,Algeria,"Pulses, Other and products",2009,57
136,Algeria,"Pulses, Other and products",2010,65
137,Algeria,"Pulses, Other and products",2011,71
138,Algeria,"Pulses, Other and products",2012,74
139,Algeria,"Pulses, Other and products",2013,84
140,Algeria,Nuts and products,2004,38
141,Algeria,Nuts and products,2005,45
142,Algeria,Nuts and products,2006,54
143,Algeria,Nuts and products,2007,34
144,Algeria,Nuts and products,2008,40
145,Algeria,Nuts and products,2009,47
146,Algeria,Nuts and products,2010,57
147,Algeria,Nuts and products,2011,22
148,Algeria,Nuts and products,2012,34
149,Algeria,Nuts and products,2013,35
150,Algeria,Groundnuts (Shelled Eq),2004,3
151,Algeria,Groundnuts (Shelled Eq),2005,2
152,Algeria,Groundnuts (Shelled Eq),2006,2
153,Algeria,Groundnuts (Shelled Eq),2007,2
154,Algeria,Groundnuts (Shelled Eq),2008,2
155,Algeria,Groundnuts (Shelled Eq),2009,2
156,Algeria,Groundnuts (Shelled Eq),2010,2
157,Algeria,Groundnuts (Shelled Eq),2011,2
158,Algeria,Groundnuts (Shelled Eq),2012,2
159,Algeria,Groundnuts (Shelled Eq),2013,2
160,Algeria,Sunflower seed,2004,0
161,Algeria,Sunflower seed,2005,0
162,Algeria,Sunflower seed,2006,0
163,Algeria,Sunflower seed,2007,0
164,Algeria,Sunflower seed,2008,0
165,Algeria,Sunflower seed,2009,0
166,Algeria,Sunflower seed,2010,0
167,Algeria,Sunflower seed,2011,0
168,Algeria,Sunflower seed,2012,0
169,Algeria,Sunflower seed,2013,0
170,Algeria,Rape and Mustardseed,2004,29
171,Algeria,Rape and Mustardseed,2005,29
172,Algeria,Rape and Mustardseed,2006,29
173,Algeria,Rape and Mustardseed,2007,29
174,Algeria,Rape and Mustardseed,2008,35
175,Algeria,Rape and Mustardseed,2009,37
176,Algeria,Rape and Mustardseed,2010,39
177,Algeria,Rape and Mustardseed,2011,45
178,Algeria,Rape and Mustardseed,2012,47
179,Algeria,Rape and Mustardseed,2013,47
180,Algeria,Cottonseed,2004,0
181,Algeria,Cottonseed,2005,0
182,Algeria,Cottonseed,2006,0
183,Algeria,Cottonseed,2007,0
184,Algeria,Cottonseed,2008,0
185,Algeria,Cottonseed,2009,0
186,Algeria,Cottonseed,2010,0
187,Algeria,Cottonseed,2011,0
188,Algeria,Cottonseed,2012,0
189,Algeria,Cottonseed,2013,0
190,Algeria,Olives (including preserved),2004,469
191,Algeria,Olives (including preserved),2005,316
192,Algeria,Olives (including preserved),2006,265
193,Algeria,Olives (including preserved),2007,209
194,Algeria,Olives (including preserved),2008,254
195,Algeria,Olives (including preserved),2009,475
196,Algeria,Olives (including preserved),2010,311
197,Algeria,Olives (including preserved),2011,611
198,Algeria,Olives (including preserved),2012,394
199,Algeria,Olives (including preserved),2013,579
200,Algeria,Groundnut Oil,2004,19
201,Algeria,Groundnut Oil,2005,23
202,Algeria,Groundnut Oil,2006,18
203,Algeria,Groundnut Oil,2007,20
204,Algeria,Groundnut Oil,2008,23
205,Algeria,Groundnut Oil,2009,22
206,Algeria,Groundnut Oil,2010,14
207,Algeria,Groundnut Oil,2011,20
208,Algeria,Groundnut Oil,2012,15
209,Algeria,Groundnut Oil,2013,20
210,Algeria,Sunflowerseed Oil,2004,1
211,Algeria,Sunflowerseed Oil,2005,1
212,Algeria,Sunflowerseed Oil,2006,1
213,Algeria,Sunflowerseed Oil,2007,1
214,Algeria,Sunflowerseed Oil,2008,1
215,Algeria,Sunflowerseed Oil,2009,1
216,Algeria,Sunflowerseed Oil,2010,1
217,Algeria,Sunflowerseed Oil,2011,0
218,Algeria,Sunflowerseed Oil,2012,1
219,Algeria,Sunflowerseed Oil,2013,1
220,Algeria,Rape and Mustard Oil,2004,9
221,Algeria,Rape and Mustard Oil,2005,9
222,Algeria,Rape and Mustard Oil,2006,9
223,Algeria,Rape and Mustard Oil,2007,9
224,Algeria,Rape and Mustard Oil,2008,11
225,Algeria,Rape and Mustard Oil,2009,12
226,Algeria,Rape and Mustard Oil,2010,12
227,Algeria,Rape and Mustard Oil,2011,14
228,Algeria,Rape and Mustard Oil,2012,15
229,Algeria,Rape and Mustard Oil,2013,15
230,Algeria,Olive Oil,2004,61
231,Algeria,Olive Oil,2005,37
232,Algeria,Olive Oil,2006,34
233,Algeria,Olive Oil,2007,24
234,Algeria,Olive Oil,2008,39
235,Algeria,Olive Oil,2009,54
236,Algeria,Olive Oil,2010,43
237,Algeria,Olive Oil,2011,60
238,Algeria,Olive Oil,2012,51
239,Algeria,Olive Oil,2013,68
240,Algeria,"Oilcrops Oil, Other",2004,2
241,Algeria,"Oilcrops Oil, Other",2005,1
242,Algeria,"Oilcrops Oil, Other",2006,2
243,Algeria,"Oilcrops Oil, Other",2007,1
244,Algeria,"Oilcrops Oil, Other",2008,3
245,Algeria,"Oilcrops Oil, Other",2009,1
246,Algeria,"Oilcrops Oil, Other",2010,1
247,Algeria,"Oilcrops Oil, Other",2011,2
248,Algeria,"Oilcrops Oil, Other",2012,2
249,Algeria,"Oilcrops Oil, Other",2013,3
250,Algeria,Tomatoes and products,2004,1092
251,Algeria,Tomatoes and products,2005,1023
252,Algeria,Tomatoes and products,2006,796
253,Algeria,Tomatoes and products,2007,567
254,Algeria,Tomatoes and products,2008,559
255,Algeria,Tomatoes and products,2009,641
256,Algeria,Tomatoes and products,2010,718
257,Algeria,Tomatoes and products,2011,772
258,Algeria,Tomatoes and products,2012,797
259,Algeria,Tomatoes and products,2013,975
260,Algeria,Onions,2004,658
261,Algeria,Onions,2005,686
262,Algeria,Onions,2006,704
263,Algeria,Onions,2007,827
264,Algeria,Onions,2008,759
265,Algeria,Onions,2009,980
266,Algeria,Onions,2010,1001
267,Algeria,Onions,2011,1144
268,Algeria,Onions,2012,1183
269,Algeria,Onions,2013,1344
270,Algeria,"Vegetables, Other",2004,2348
271,Algeria,"Vegetables, Other",2005,2522
272,Algeria,"Vegetables, Other",2006,2445
273,Algeria,"Vegetables, Other",2007,2512
274,Algeria,"Vegetables, Other",2008,2578
275,Algeria,"Vegetables, Other",2009,3131
276,Algeria,"Vegetables, Other",2010,3499
277,Algeria,"Vegetables, Other",2011,3666
278,Algeria,"Vegetables, Other",2012,4068
279,Algeria,"Vegetables, Other",2013,4472
280,Algeria,"Oranges, Mandarines",2004,561
281,Algeria,"Oranges, Mandarines",2005,579
282,Algeria,"Oranges, Mandarines",2006,631
283,Algeria,"Oranges, Mandarines",2007,647
284,Algeria,"Oranges, Mandarines",2008,653
285,Algeria,"Oranges, Mandarines",2009,783
286,Algeria,"Oranges, Mandarines",2010,734
287,Algeria,"Oranges, Mandarines",2011,1033
288,Algeria,"Oranges, Mandarines",2012,1010
289,Algeria,"Oranges, Mandarines",2013,1122
290,Algeria,"Lemons, Limes and products",2004,46
291,Algeria,"Lemons, Limes and products",2005,47
292,Algeria,"Lemons, Limes and products",2006,47
293,Algeria,"Lemons, Limes and products",2007,45
294,Algeria,"Lemons, Limes and products",2008,43
295,Algeria,"Lemons, Limes and products",2009,60
296,Algeria,"Lemons, Limes and products",2010,52
297,Algeria,"Lemons, Limes and products",2011,72
298,Algeria,"Lemons, Limes and products",2012,76
299,Algeria,"Lemons, Limes and products",2013,81
300,Algeria,Grapefruit and products,2004,2
301,Algeria,Grapefruit and products,2005,2
302,Algeria,Grapefruit and products,2006,3
303,Algeria,Grapefruit and products,2007,1
304,Algeria,Grapefruit and products,2008,1
305,Algeria,Grapefruit and products,2009,1
306,Algeria,Grapefruit and products,2010,2
307,Algeria,Grapefruit and products,2011,2
308,Algeria,Grapefruit and products,2012,2
309,Algeria,Grapefruit and products,2013,2
310,Algeria,"Citrus, Other",2004,0
311,Algeria,"Citrus, Other",2005,0
312,Algeria,"Citrus, Other",2006,0
313,Algeria,"Citrus, Other",2007,0
314,Algeria,"Citrus, Other",2008,0
315,Algeria,"Citrus, Other",2009,0
316,Algeria,"Citrus, Other",2010,1
317,Algeria,"Citrus, Other",2011,1
318,Algeria,"Citrus, Other",2012,1
319,Algeria,"Citrus, Other",2013,1
320,Algeria,Bananas,2004,0
321,Algeria,Bananas,2005,0
322,Algeria,Bananas,2006,0
323,Algeria,Bananas,2007,0
324,Algeria,Bananas,2008,0
325,Algeria,Bananas,2009,0
326,Algeria,Bananas,2010,0
327,Algeria,Bananas,2011,0
328,Algeria,Bananas,2012,0
329,Algeria,Bananas,2013,0
330,Algeria,Apples and products,2004,165
331,Algeria,Apples and products,2005,200
332,Algeria,Apples and products,2006,283
333,Algeria,Apples and products,2007,190
334,Algeria,Apples and products,2008,261
335,Algeria,Apples and products,2009,267
336,Algeria,Apples and products,2010,379
337,Algeria,Apples and products,2011,404
338,Algeria,Apples and products,2012,398
339,Algeria,Apples and products,2013,456
340,Algeria,Dates,2004,443
341,Algeria,Dates,2005,516
342,Algeria,Dates,2006,491
343,Algeria,Dates,2007,527
344,Algeria,Dates,2008,553
345,Algeria,Dates,2009,601
346,Algeria,Dates,2010,645
347,Algeria,Dates,2011,725
348,Algeria,Dates,2012,789
349,Algeria,Dates,2013,848
350,Algeria,Grapes and products (excl wine),2004,284
351,Algeria,Grapes and products (excl wine),2005,334
352,Algeria,Grapes and products (excl wine),2006,398
353,Algeria,Grapes and products (excl wine),2007,245
354,Algeria,Grapes and products (excl wine),2008,402
355,Algeria,Grapes and products (excl wine),2009,493
356,Algeria,Grapes and products (excl wine),2010,561
357,Algeria,Grapes and products (excl wine),2011,403
358,Algeria,Grapes and products (excl wine),2012,543
359,Algeria,Grapes and products (excl wine),2013,571
360,Algeria,"Fruits, Other",2004,480
361,Algeria,"Fruits, Other",2005,602
362,Algeria,"Fruits, Other",2006,737
363,Algeria,"Fruits, Other",2007,530
364,Algeria,"Fruits, Other",2008,703
365,Algeria,"Fruits, Other",2009,783
366,Algeria,"Fruits, Other",2010,931
367,Algeria,"Fruits, Other",2011,1036
368,Algeria,"Fruits, Other",2012,1015
369,Algeria,"Fruits, Other",2013,1148
370,Algeria,Pimento,2004,6
371,Algeria,Pimento,2005,8
372,Algeria,Pimento,2006,9
373,Algeria,Pimento,2007,6
374,Algeria,Pimento,2008,8
375,Algeria,Pimento,2009,9
376,Algeria,Pimento,2010,12
377,Algeria,Pimento,2011,13
378,Algeria,Pimento,2012,14
379,Algeria,Pimento,2013,15
380,Algeria,Wine,2004,85
381,Algeria,Wine,2005,90
382,Algeria,Wine,2006,105
383,Algeria,Wine,2007,52
384,Algeria,Wine,2008,50
385,Algeria,Wine,2009,59
386,Algeria,Wine,2010,48
387,Algeria,Wine,2011,48
388,Algeria,Wine,2012,49
389,Algeria,Wine,2013,50
390,Algeria,Beer,2004,110
391,Algeria,Beer,2005,118
392,Algeria,Beer,2006,125
393,Algeria,Beer,2007,130
394,Algeria,Beer,2008,141
395,Algeria,Beer,2009,140
396,Algeria,Beer,2010,141
397,Algeria,Beer,2011,143
398,Algeria,Beer,2012,145
399,Algeria,Beer,2013,165
400,Algeria,"Beverages, Alcoholic",2004,0
401,Algeria,"Beverages, Alcoholic",2005,0
402,Algeria,"Beverages, Alcoholic",2006,0
403,Algeria,"Beverages, Alcoholic",2007,0
404,Algeria,"Beverages, Alcoholic",2008,0
405,Algeria,"Beverages, Alcoholic",2009,0
406,Algeria,"Beverages, Alcoholic",2010,0
407,Algeria,"Beverages, Alcoholic",2011,0
408,Algeria,"Beverages, Alcoholic",2012,0
409,Algeria,"Beverages, Alcoholic",2013,0
410,Algeria,Bovine Meat,2004,125
411,Algeria,Bovine Meat,2005,120
412,Algeria,Bovine Meat,2006,122
413,Algeria,Bovine Meat,2007,123
414,Algeria,Bovine Meat,2008,125
415,Algeria,Bovine Meat,2009,131
416,Algeria,Bovine Meat,2010,126
417,Algeria,Bovine Meat,2011,125
418,Algeria,Bovine Meat,2012,136
419,Algeria,Bovine Meat,2013,140
420,Algeria,Mutton & Goat Meat,2004,185
421,Algeria,Mutton & Goat Meat,2005,191
422,Algeria,Mutton & Goat Meat,2006,199
423,Algeria,Mutton & Goat Meat,2007,201
424,Algeria,Mutton & Goat Meat,2008,193
425,Algeria,Mutton & Goat Meat,2009,212
426,Algeria,Mutton & Goat Meat,2010,221
427,Algeria,Mutton & Goat Meat,2011,270
428,Algeria,Mutton & Goat Meat,2012,279
429,Algeria,Mutton & Goat Meat,2013,298
430,Algeria,Pigmeat,2004,0
431,Algeria,Pigmeat,2005,0
432,Algeria,Pigmeat,2006,0
433,Algeria,Pigmeat,2007,0
434,Algeria,Pigmeat,2008,0
435,Algeria,Pigmeat,2009,0
436,Algeria,Pigmeat,2010,0
437,Algeria,Pigmeat,2011,0
438,Algeria,Pigmeat,2012,0
439,Algeria,Pigmeat,2013,0
440,Algeria,Poultry Meat,2004,268
441,Algeria,Poultry Meat,2005,270
442,Algeria,Poultry Meat,2006,261
443,Algeria,Poultry Meat,2007,266
444,Algeria,Poultry Meat,2008,267
445,Algeria,Poultry Meat,2009,270
446,Algeria,Poultry Meat,2010,275
447,Algeria,Poultry Meat,2011,277
448,Algeria,Poultry Meat,2012,289
449,Algeria,Poultry Meat,2013,288
450,Algeria,"Meat, Other",2004,11
451,Algeria,"Meat, Other",2005,11
452,Algeria,"Meat, Other",2006,12
453,Algeria,"Meat, Other",2007,12
454,Algeria,"Meat, Other",2008,12
455,Algeria,"Meat, Other",2009,12
456,Algeria,"Meat, Other",2010,13
457,Algeria,"Meat, Other",2011,14
458,Algeria,"Meat, Other",2012,14
459,Algeria,"Meat, Other",2013,14
460,Algeria,"Offals, Edible",2004,40
461,Algeria,"Offals, Edible",2005,40
462,Algeria,"Offals, Edible",2006,41
463,Algeria,"Offals, Edible",2007,41
464,Algeria,"Offals, Edible",2008,41
465,Algeria,"Offals, Edible",2009,44
466,Algeria,"Offals, Edible",2010,45
467,Algeria,"Offals, Edible",2011,52
468,Algeria,"Offals, Edible",2012,53
469,Algeria,"Offals, Edible",2013,56
470,Algeria,"Butter, Ghee",2004,2
471,Algeria,"Butter, Ghee",2005,2
472,Algeria,"Butter, Ghee",2006,2
473,Algeria,"Butter, Ghee",2007,2
474,Algeria,"Butter, Ghee",2008,2
475,Algeria,"Butter, Ghee",2009,2
476,Algeria,"Butter, Ghee",2010,2
477,Algeria,"Butter, Ghee",2011,4
478,Algeria,"Butter, Ghee",2012,4
479,Algeria,"Butter, Ghee",2013,5
480,Algeria,"Fats, Animals, Raw",2004,7
481,Algeria,"Fats, Animals, Raw",2005,7
482,Algeria,"Fats, Animals, Raw",2006,7
483,Algeria,"Fats, Animals, Raw",2007,7
484,Algeria,"Fats, Animals, Raw",2008,7
485,Algeria,"Fats, Animals, Raw",2009,7
486,Algeria,"Fats, Animals, Raw",2010,8
487,Algeria,"Fats, Animals, Raw",2011,9
488,Algeria,"Fats, Animals, Raw",2012,9
489,Algeria,"Fats, Animals, Raw",2013,10
490,Algeria,Eggs,2004,180
491,Algeria,Eggs,2005,175
492,Algeria,Eggs,2006,178
493,Algeria,Eggs,2007,196
494,Algeria,Eggs,2008,184
495,Algeria,Eggs,2009,194
496,Algeria,Eggs,2010,260
497,Algeria,Eggs,2011,280
498,Algeria,Eggs,2012,309
499,Algeria,Eggs,2013,347
500,Algeria,Milk - Excluding Butter,2004,1701
501,Algeria,Milk - Excluding Butter,2005,1799
502,Algeria,Milk - Excluding Butter,2006,2017
503,Algeria,Milk - Excluding Butter,2007,1999
504,Algeria,Milk - Excluding Butter,2008,1998
505,Algeria,Milk - Excluding Butter,2009,2263
506,Algeria,Milk - Excluding Butter,2010,2634
507,Algeria,Milk - Excluding Butter,2011,2733
508,Algeria,Milk - Excluding Butter,2012,2908
509,Algeria,Milk - Excluding Butter,2013,3129
510,Algeria,Freshwater Fish,2004,1
511,Algeria,Freshwater Fish,2005,0
512,Algeria,Freshwater Fish,2006,0
513,Algeria,Freshwater Fish,2007,0
514,Algeria,Freshwater Fish,2008,3
515,Algeria,Freshwater Fish,2009,2
516,Algeria,Freshwater Fish,2010,2
517,Algeria,Freshwater Fish,2011,2
518,Algeria,Freshwater Fish,2012,2
519,Algeria,Freshwater Fish,2013,2
520,Algeria,Demersal Fish,2004,10
521,Algeria,Demersal Fish,2005,11
522,Algeria,Demersal Fish,2006,10
523,Algeria,Demersal Fish,2007,11
524,Algeria,Demersal Fish,2008,15
525,Algeria,Demersal Fish,2009,12
526,Algeria,Demersal Fish,2010,11
527,Algeria,Demersal Fish,2011,12
528,Algeria,Demersal Fish,2012,12
529,Algeria,Demersal Fish,2013,12
530,Algeria,Pelagic Fish,2004,100
531,Algeria,Pelagic Fish,2005,111
532,Algeria,Pelagic Fish,2006,132
533,Algeria,Pelagic Fish,2007,125
534,Algeria,Pelagic Fish,2008,106
535,Algeria,Pelagic Fish,2009,98
536,Algeria,Pelagic Fish,2010,66
537,Algeria,Pelagic Fish,2011,72
538,Algeria,Pelagic Fish,2012,74
539,Algeria,Pelagic Fish,2013,74
540,Algeria,"Marine Fish, Other",2004,0
541,Algeria,"Marine Fish, Other",2005,0
542,Algeria,"Marine Fish, Other",2006,0
543,Algeria,"Marine Fish, Other",2007,6
544,Algeria,"Marine Fish, Other",2008,14
545,Algeria,"Marine Fish, Other",2009,14
546,Algeria,"Marine Fish, Other",2010,14
547,Algeria,"Marine Fish, Other",2011,13
548,Algeria,"Marine Fish, Other",2012,17
549,Algeria,"Marine Fish, Other",2013,17
550,Algeria,Crustaceans,2004,3
551,Algeria,Crustaceans,2005,3
552,Algeria,Crustaceans,2006,2
553,Algeria,Crustaceans,2007,2
554,Algeria,Crustaceans,2008,2
555,Algeria,Crustaceans,2009,3
556,Algeria,Crustaceans,2010,2
557,Algeria,Crustaceans,2011,2
558,Algeria,Crustaceans,2012,2
559,Algeria,Crustaceans,2013,2
560,Algeria,Cephalopods,2004,1
561,Algeria,Cephalopods,2005,2
562,Algeria,Cephalopods,2006,1
563,Algeria,Cephalopods,2007,2
564,Algeria,Cephalopods,2008,2
565,Algeria,Cephalopods,2009,1
566,Algeria,Cephalopods,2010,1
567,Algeria,Cephalopods,2011,1
568,Algeria,Cephalopods,2012,1
569,Algeria,Cephalopods,2013,1
570,Algeria,"Molluscs, Other",2004,0
571,Algeria,"Molluscs, Other",2005,0
572,Algeria,"Molluscs, Other",2006,0
573,Algeria,"Molluscs, Other",2007,0
574,Algeria,"Molluscs, Other",2008,0
575,Algeria,"Molluscs, Other",2009,0
576,Algeria,"Molluscs, Other",2010,0
577,Algeria,"Molluscs, Other",2011,0
578,Algeria,"Molluscs, Other",2012,0
579,Algeria,"Molluscs, Other",2013,0
